Version,11.0
EXT Filename,C:\fNIRS\UserData\subject 20\session 02.csv
Date,2019/08/29 100539
Records,25
Data Folder,
.OMM Filename,NIRS_20190829_100523.OMM
.PROT Filename,session2.pro
Gain Pattern Filename,
Start Time,Protocol Type,Pre.Rest,Task,Pos.Rest
00:00:02.02,1,2.000000,10.000000,18.000000
00:00:32.02,2,2.000000,10.000000,19.000000
00:01:03.00,3,2.000000,10.000000,17.000000
00:01:32.03,4,2.000000,10.000000,19.000000
00:02:03.00,5,2.000000,10.000000,17.000000
00:02:32.02,6,2.000000,10.000000,18.000000
00:03:02.02,7,2.000000,10.000000,18.000000
00:03:32.02,8,2.000000,10.000000,19.000000
00:04:03.07,9,2.000000,10.000000,17.000000
00:04:32.02,10,2.000000,10.000000,17.000000
00:05:01.05,11,2.000000,10.000000,19.000000
00:05:32.02,12,2.000000,10.000000,18.000000
00:06:02.02,13,2.000000,10.000000,19.000000
00:06:33.07,14,2.000000,10.000000,18.000000
00:07:03.07,15,2.000000,10.000000,17.000000
00:07:32.02,16,2.000000,10.000000,17.000000
00:08:01.05,17,2.000000,10.000000,19.000000
00:08:32.02,18,2.000000,10.000000,18.000000
00:09:02.02,19,2.000000,10.000000,19.000000
00:09:33.07,20,2.000000,10.000000,18.000000
00:10:03.00,21,2.000000,10.000000,17.000000
00:10:32.03,22,2.000000,10.000000,18.000000
00:11:02.03,23,2.000000,10.000000,19.000000
00:11:33.00,24,2.000000,10.000000,17.000000
00:12:02.03,25,2.000000,10.000000,18.000000
